t_s,width_x_m,width_3d_m,width_norm
2.786116666666666575e+00,7.457944126405119389e-02,1.204177648676055118e-01,3.201388502918834367e-01
2.802799999999999958e+00,8.306322772934779386e-02,1.278754657204468070e-01,4.230974238998518877e-01
2.819483333333333341e+00,8.347488375610084832e-02,1.282809271663647999e-01,4.280932494672433086e-01
2.836166666666666725e+00,8.235857749428679431e-02,1.271772898954096898e-01,4.145458433772669093e-01
2.852850000000000108e+00,8.283363795845472000e-02,1.276586767971990832e-01,4.203111402725087098e-01
2.869533333333333491e+00,8.251781244820013961e-02,1.273489738755311795e-01,4.164783064101958421e-01
2.886216666666666875e+00,8.220162938274463982e-02,1.270248843845984965e-01,4.126411332857359282e-01
2.902900000000000258e+00,8.290001469596375294e-02,1.277278377623613237e-01,4.211166832034435870e-01
2.919583333333333197e+00,8.300784039075961851e-02,1.278368389631319990e-01,4.224252474606750019e-01
2.936266666666666580e+00,8.297713307191079135e-02,1.278047894118269912e-01,4.220525858241601092e-01
2.952949999999999964e+00,8.316880207544011250e-02,1.280032399489549888e-01,4.243786659640790271e-01
2.969633333333333347e+00,8.327334929845153777e-02,1.281102248761382401e-01,4.256474429423730554e-01
2.986316666666666730e+00,8.299895449800331892e-02,1.278278504060099963e-01,4.223174089563509481e-01
3.003000000000000114e+00,8.248091245116390136e-02,1.272964588998173052e-01,4.160304909121832484e-01
3.019683333333333497e+00,8.235937801082374166e-02,1.271918419380916598e-01,4.145555583837832736e-01
3.036366666666666880e+00,8.258078642173455330e-02,1.273984088749503807e-01,4.172425536618271091e-01
3.053050000000000264e+00,8.248755990269021621e-02,1.273020261525302232e-01,4.161111638675997204e-01
3.069733333333333203e+00,8.258497148427135226e-02,1.274000730877294929e-01,4.172933432557203171e-01
3.086416666666666586e+00,8.245208069764287107e-02,1.272624734211662556e-01,4.156805909908115604e-01
3.103099999999999969e+00,8.286971733982617661e-02,1.276887016703151800e-01,4.207489968425506821e-01
3.119783333333333353e+00,8.287429048027639134e-02,1.276884969241049439e-01,4.208044961198590950e-01
3.136466666666666736e+00,8.288312700420547019e-02,1.277065005424531663e-01,4.209117354879304829e-01
3.153150000000000119e+00,8.263027683530177470e-02,1.274482248313193455e-01,4.178431654769632630e-01
3.169833333333333503e+00,8.258977670219505574e-02,1.274163527021202336e-01,4.173516590072215426e-01
3.186516666666666886e+00,8.260846886040201786e-02,1.274337051638679275e-01,4.175785055874031149e-01
3.203200000000000269e+00,8.297263895977372017e-02,1.277916917260394081e-01,4.219980456283218273e-01
3.219883333333333209e+00,8.292567206956938386e-02,1.277482554841227469e-01,4.214280590967158235e-01
3.236566666666666592e+00,8.303547330807409255e-02,1.278520994593760340e-01,4.227605983989574101e-01
3.253249999999999975e+00,8.318820627907516640e-02,1.280032118750729919e-01,4.246141538722714159e-01
3.269933333333333358e+00,8.324984439566948669e-02,1.280598601936115410e-01,4.253621892678335903e-01
3.286616666666666742e+00,8.319598329745342413e-02,1.280109471038475832e-01,4.247085351632697292e-01
3.303300000000000125e+00,8.277451393450677153e-02,1.275965695981448322e-01,4.195936157100336183e-01
3.319983333333333508e+00,8.286592946842236129e-02,1.276922174749011707e-01,4.207030275293975885e-01
3.336666666666666892e+00,8.318100345713552723e-02,1.279978993743623172e-01,4.245267409846544271e-01
3.353350000000000275e+00,8.318547425594111089e-02,1.280078098058761993e-01,4.245809982517125269e-01
3.370033333333333214e+00,8.334903796873668891e-02,1.281696306643620997e-01,4.265659947662219231e-01
3.386716666666666598e+00,8.334840494098882946e-02,1.281834476876549667e-01,4.265583123906411256e-01
3.403399999999999981e+00,8.342228650536814838e-02,1.282381403241363849e-01,4.274549333175746146e-01
3.420083333333333364e+00,8.362324381744257185e-02,1.284327018368154327e-01,4.298937356485749151e-01
3.436766666666666747e+00,8.358389159348983410e-02,1.284053384508555273e-01,4.294161601151678664e-01
3.453450000000000131e+00,8.317221896702151063e-02,1.279886365324372777e-01,4.244201330949212703e-01
3.470133333333333514e+00,8.309330936291464687e-02,1.279121775097293301e-01,4.234624922683816184e-01
3.486816666666666897e+00,8.310845678115563739e-02,1.279291021816904017e-01,4.236463201596558092e-01
3.503500000000000281e+00,8.322853940626359637e-02,1.280488375019149250e-01,4.251036335711601555e-01
3.520183333333333220e+00,8.317105986896042302e-02,1.279915580522432428e-01,4.244060663708789094e-01
3.536866666666666603e+00,8.315074688426057903e-02,1.279686498928951921e-01,4.241595495662691673e-01
3.553549999999999986e+00,8.329254295695859289e-02,1.281131073045459479e-01,4.258803756912450389e-01
3.570233333333333370e+00,8.314262766644947567e-02,1.279698023358684378e-01,4.240610153695324458e-01
3.586916666666666753e+00,8.277665673560224979e-02,1.275966528203462125e-01,4.196196205776971944e-01
3.603600000000000136e+00,8.325610439722275213e-02,1.280796413875485706e-01,4.254381601604703134e-01
3.620283333333333520e+00,8.335395625212865811e-02,1.281778206766766570e-01,4.266256826714642791e-01
3.636966666666666903e+00,8.354921524614963846e-02,1.283654841559009885e-01,4.289953306571557823e-01
3.653650000000000286e+00,8.362495010145953866e-02,1.284440977676427342e-01,4.299144429788778754e-01
3.670333333333333226e+00,8.338057524875680526e-02,1.282055619005401104e-01,4.269487287470485892e-01
3.687016666666666609e+00,8.353403162515907199e-02,1.283548317973800257e-01,4.288110634121246600e-01
3.703699999999999992e+00,8.396364762804164883e-02,1.287747808826401053e-01,4.340248498548743838e-01
3.720383333333333375e+00,8.420218482251207170e-02,1.290104375690490635e-01,4.369197187198066712e-01
3.737066666666666759e+00,8.376869585426843789e-02,1.285895745989863725e-01,4.316589302702480424e-01
3.753750000000000142e+00,8.372636366288557785e-02,1.285431847884282164e-01,4.311451900835628348e-01
3.770433333333333525e+00,8.339644781152230624e-02,1.282178758855971601e-01,4.271413569359502893e-01
3.787116666666666909e+00,8.356018855862276662e-02,1.283738587149010901e-01,4.291285019250335453e-01
