t,gx,gy,gz,ax,ay,az
5.594786200491463912e-01,-1.586794462193823196e-01,5.324813631522896766e-03,-9.691160809371672513e-02,9.208633093525179447e+00,2.613908872901678504e-01,3.966426858513189657e+00
5.644347662078053052e-01,-1.576144834930777450e-01,2.662406815761448470e-02,-1.096911608093716767e-01,9.203836930455635112e+00,2.805755395683453002e-01,4.139088729016786594e+00
5.693909123664643301e-01,-1.533546325878594185e-01,2.981895633652822258e-02,-1.182108626198083018e-01,9.158273381294964821e+00,3.573141486810551548e-01,4.357314148681055599e+00
5.743470585251232441e-01,-1.480298189563365174e-01,1.277955271565495154e-02,-1.299254526091586925e-01,9.091127098321342359e+00,4.292565947242206192e-01,4.426858513189448452e+00
5.793032046837822691e-01,-1.512247071352502692e-01,-9.584664536741213658e-03,-1.352502662406815659e-01,8.959232613908872267e+00,5.107913669064748641e-01,4.362110311750599934e+00
5.842593508424411830e-01,-1.533546325878594185e-01,-2.236421725239616520e-02,-1.384451544195953177e-01,8.932853717026379314e+00,6.139088729016786150e-01,4.311750599520383531e+00
5.892154970011002080e-01,-1.586794462193823196e-01,-2.768903088391906284e-02,-1.384451544195953177e-01,8.956834532374100988e+00,7.002398081534771945e-01,4.446043165467625791e+00
5.941716431597591219e-01,-1.576144834930777450e-01,-3.833865814696485463e-02,-1.320553780617678419e-01,8.980815347721822661e+00,7.218225419664268117e-01,4.635491606714627899e+00
5.991277893184181469e-01,-1.586794462193823196e-01,-5.857294994675186356e-02,-1.203407880724174650e-01,8.942446043165467984e+00,7.817745803357314394e-01,4.779376498800958828e+00
6.040839354770770608e-01,-1.597444089456868943e-01,-9.371671991480298725e-02,-1.054313099041533502e-01,8.923261390887290645e+00,8.225419664268585063e-01,4.745803357314148485e+00
6.090400816357360858e-01,-1.586794462193823196e-01,-1.235356762513312029e-01,-9.371671991480298725e-02,8.901678657074340251e+00,8.201438848920863389e-01,4.623501199040767062e+00
6.139962277943949998e-01,-1.586794462193823196e-01,-1.469648562300319428e-01,-7.774227902023429781e-02,8.923261390887290645e+00,8.393285371702637887e-01,4.498800959232613472e+00
6.189523739530540247e-01,-1.522896698615548439e-01,-1.608093716719914690e-01,-6.070287539936101984e-02,9.021582733812950394e+00,7.913669064748201087e-01,4.398081534772182444e+00
6.239085201117129387e-01,-1.544195953141639932e-01,-1.735889243876464205e-01,-4.366347177848775574e-02,9.055155875299760737e+00,8.129496402877698369e-01,4.335731414868105205e+00
6.288646662703719636e-01,-1.554845580404685956e-01,-1.842385516506922227e-01,-2.875399361022364098e-02,9.031175059952039064e+00,8.848920863309353013e-01,4.251798561151079348e+00
6.338208124290308776e-01,-1.565495207667731703e-01,-1.906283280085196985e-01,-1.064962726304579353e-02,9.059952038369305072e+00,8.848920863309353013e-01,4.127098321342925757e+00
6.387769585876897915e-01,-1.640042598509052207e-01,-1.884984025559105492e-01,7.454739084132055646e-03,9.117505995203837088e+00,8.561151079136690711e-01,3.968824940047961825e+00
6.437331047463488165e-01,-1.725239616613418459e-01,-1.746538871139510229e-01,2.023429179978700893e-02,9.107913669064748419e+00,8.489208633093525691e-01,3.899280575539568527e+00
6.486892509050077305e-01,-1.821086261980830734e-01,-1.608093716719914690e-01,3.088391906283280072e-02,9.110311750599519698e+00,8.657074340527577405e-01,3.961630695443644878e+00
6.536453970636667554e-01,-1.906283280085196985e-01,-1.544195953141639932e-01,4.153354632587859252e-02,9.146282973621103096e+00,8.657074340527577405e-01,3.959232613908872711e+00
6.586015432223256694e-01,-1.970181043663471743e-01,-1.469648562300319428e-01,5.431309904153354406e-02,9.139088729016785706e+00,8.417266187050359560e-01,3.894484412470024193e+00
6.635576893809846943e-01,-2.076677316293929765e-01,-1.320553780617678419e-01,6.389776357827475772e-02,9.055155875299760737e+00,8.824940047961630230e-01,3.858513189448441238e+00
6.685138355396436083e-01,-2.161874334398296016e-01,-1.203407880724174650e-01,7.774227902023429781e-02,9.009592326139088669e+00,8.968824940047961380e-01,3.978417266187050494e+00
6.734699816983026333e-01,-2.193823216187433534e-01,-1.171458998935037271e-01,9.691160809371672513e-02,9.011990407673861725e+00,7.505995203836930418e-01,4.033573141486810343e+00
6.784261278569615472e-01,-2.193823216187433534e-01,-1.192758253461128903e-01,1.107561235356762513e-01,9.021582733812950394e+00,5.899280575539568305e-01,4.033573141486810343e+00
6.833822740156205722e-01,-2.151224707135250269e-01,-1.235356762513312029e-01,1.096911608093716767e-01,9.002398081534773056e+00,5.923261390887289979e-01,4.019184652278177339e+00
6.883384201742794861e-01,-2.076677316293929765e-01,-1.203407880724174650e-01,1.086261980830670881e-01,8.937649880095923649e+00,6.091127098321342803e-01,4.002398081534772167e+00
6.932945663329385111e-01,-1.959531416400425996e-01,-1.139510117145899892e-01,1.192758253461128903e-01,8.911270983213428920e+00,5.803357314148680501e-01,4.043165467625899012e+00
6.982507124915974250e-01,-1.789137380191693216e-01,-1.064962726304579388e-01,1.331203407880724165e-01,8.947242206235012318e+00,4.940047961630695261e-01,4.059952038369304184e+00
7.032068586502564500e-01,-1.650692225772097954e-01,-1.043663471778487756e-01,1.405750798722044670e-01,8.983213429256593940e+00,4.028776978417266119e-01,4.127098321342925757e+00
7.081630048089153640e-01,-1.533546325878594185e-01,-1.107561235356762513e-01,1.373801916932907430e-01,8.976019184652278327e+00,4.244604316546762846e-01,4.115107913669064921e+00
7.131191509675743889e-01,-1.480298189563365174e-01,-1.139510117145899892e-01,1.363152289669861683e-01,8.884892086330935967e+00,4.820143884892086339e-01,4.107913669064748419e+00
7.180752971262333029e-01,-1.363152289669861683e-01,-1.150159744408945639e-01,1.416400425985090417e-01,8.839328537170263900e+00,4.724220623501199090e-01,4.112709832134292753e+00
7.230314432848923278e-01,-1.246006389776357776e-01,-1.160809371671991524e-01,1.480298189563365174e-01,8.836930455635490844e+00,4.412470023980815115e-01,4.115107913669064921e+00
7.279875894435512418e-01,-1.182108626198083018e-01,-1.182108626198083018e-01,1.554845580404685956e-01,8.851318944844123848e+00,4.436450839328537343e-01,4.179856115107913439e+00
7.329437356022102668e-01,-1.096911608093716767e-01,-1.288604898828540901e-01,1.597444089456868943e-01,8.815347721822542226e+00,5.035971223021582510e-01,4.170263788968824770e+00
