frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
171,5.705700,2,false,true,0.036529858,-0.167127743,0.319004148,0.010261665,0.085920624,0.041927461,0.995366514
172,5.739067,2,false,false,0.037944004,-0.166645855,0.318503559,0.011438283,0.083490342,0.044170287,0.995463490
173,5.772433,2,false,false,0.039123565,-0.166254476,0.318054646,0.012929079,0.081617951,0.045690935,0.995531917
174,5.805800,2,false,false,0.039564338,-0.166022107,0.317592382,0.013447251,0.079846166,0.045408998,0.995681584
175,5.839167,2,false,false,0.039307117,-0.165735468,0.317748189,0.013185984,0.078460522,0.042960200,0.995903909
176,5.872533,2,false,false,0.039153617,-0.165681407,0.317764014,0.013358060,0.078077652,0.040658135,0.996028304
177,5.905900,2,false,false,0.038968068,-0.165857017,0.317783594,0.012881865,0.077988505,0.038971893,0.996109009
178,5.939267,2,false,false,0.038945105,-0.165805981,0.317946672,0.013005846,0.078173772,0.039678391,0.996064901
179,5.972633,2,false,false,0.039195236,-0.165807843,0.318110108,-0.013814369,-0.078549922,-0.040280249,-0.996000290
180,6.006000,2,false,false,0.039073318,-0.165672779,0.318113089,-0.014461573,-0.078578383,-0.040544514,-0.995978177
181,6.039367,2,false,false,0.038856734,-0.165525705,0.317534715,-0.015924081,-0.077303387,-0.041319620,-0.996023774
182,6.072733,2,false,false,0.038472705,-0.165338516,0.317145735,-0.016975548,-0.074329197,-0.041173887,-0.996238828
183,6.106100,2,false,false,0.037579264,-0.165205121,0.316557765,-0.018275511,-0.072453626,-0.039119728,-0.996436715
184,6.139467,2,false,false,0.036666911,-0.165404618,0.316073090,-0.018776283,-0.071565747,-0.037421305,-0.996556878
185,6.172833,2,false,false,0.035809003,-0.165645137,0.315807790,-0.019031335,-0.069767989,-0.036828995,-0.996701539
186,6.206200,2,false,true,0.035061412,-0.165872723,0.314945221,0.020384666,0.068979792,0.036139980,0.996754825
187,6.239567,2,false,false,0.034506865,-0.166293770,0.314612359,0.021245444,0.068085395,0.035686720,0.996814668
188,6.272933,2,false,false,0.033951797,-0.167029113,0.313930839,0.021956587,0.067099631,0.035853453,0.996860147
189,6.306300,2,false,false,0.033446614,-0.167857543,0.313073665,0.022399038,0.067077927,0.035722818,0.996856451
190,6.339667,2,false,false,0.032743972,-0.169129163,0.312063843,0.023689369,0.067097120,0.035328850,0.996839345
